0 2,0 3,1 2,1 3,total
10,12,15,9,46
12,13,12,8,45
14,18,4,10,46
11,10,10,19,50
9,5,14,4,32
15,21,11,5,52
13,12,6,9,40
2,2,5,4,13
6,6,12,6,30
9,17,8,8,42
14,5,8,6,33
11,8,9,21,49
18,16,6,6,46
26,15,19,21,81
19,21,10,28,78
2,3,5,3,13
24,25,25,21,95
4,6,3,11,24
24,28,40,49,141
17,21,7,11,56
1,2,0,1,4
4,4,3,4,15
2,1,0,2,5
8,5,9,8,30
1,4,2,2,9
5,9,8,10,32
1,4,0,3,8
5,10,1,6,22
6,7,2,5,20
3,8,1,7,19
7,4,7,15,33
2,13,5,5,25
0,0,0,0,0
7,8,6,3,24
4,4,8,12,28
9,3,8,1,21
16,11,5,5,37
18,10,11,15,54
6,4,5,16,31
0,1,0,1,2
12,13,6,7,38
11,5,9,4,29
2,2,3,0,7
3,8,2,16,29
3,8,1,4,16
3,5,1,3,12
1,5,1,1,8
21,5,8,1,35
18,20,6,12,56
25,23,3,7,58
14,18,4,12,48
22,26,7,12,67
5,2,6,3,16
3,4,5,11,23
20,9,21,7,57
13,9,20,9,51
16,17,13,9,55
4,7,4,10,25
24,10,15,13,62
15,11,11,11,48
20,6,20,16,62
15,22,9,9,55
1,7,4,3,15
38,26,35,20,119
7,7,10,12,36
17,12,16,13,58
55,34,27,16,132
6,5,6,7,24
8,15,13,33,69
11,8,6,23,48
15,10,6,14,45
13,19,5,25,62
2,6,6,10,24
8,10,15,12,45
5,6,7,5,23
6,1,3,1,11
2,4,3,5,14
0,0,0,1,1
7,7,7,9,30
5,2,13,18,38
2,2,2,6,12
12,23,7,9,51
8,11,5,11,35
6,3,7,12,28
8,0,12,0,20
16,11,5,4,36
12,18,9,35,74
22,19,21,12,74
1,5,4,43,53
5,8,4,19,36
3,6,1,9,19
5,14,11,16,46
4,1,1,2,8
4,7,0,13,24
7,5,9,6,27
6,5,1,6,18
9,12,19,13,53
10,13,9,9,41
20,10,13,7,50
15,20,10,20,65
2,2,4,14,22
7,11,4,14,36
0,1,3,2,6
10,6,15,9,40
24,21,15,21,81
16,7,11,6,40
15,13,15,24,67
6,3,3,7,19
11,6,16,18,51
18,11,11,20,60
16,8,8,14,46
7,6,6,12,31
10,16,18,19,63
19,37,20,36,112
15,13,13,17,58
14,12,25,25,76
12,18,9,11,50
5,7,5,12,29
10,12,10,10,42
9,6,21,17,53
14,25,17,20,76
32,5,17,11,65
12,15,12,28,67
8,5,3,11,27
8,22,4,19,53
4,13,11,13,41
2,0,6,9,17
5,7,4,7,23
10,4,3,5,22
6,8,5,25,44
7,8,6,3,24
9,8,5,3,25
13,7,6,12,38
22,16,17,9,64
19,17,19,15,70
5,6,7,13,31
3,6,15,14,38
8,12,7,29,56
12,5,7,5,29
6,9,4,9,28
0,0,0,6,6
5,10,9,17,41
2,1,1,12,16
5,1,18,9,33
1,1,2,1,5
9,5,5,10,29
12,5,3,9,29
4,3,4,11,22
10,14,6,14,44
26,8,8,10,52
1,2,6,4,13
14,13,9,15,51
0,0,0,1,1
16,11,9,8,44
15,4,11,6,36
5,2,7,18,32
9,1,8,2,20
14,5,20,22,61
14,10,17,19,60
9,10,6,8,33
14,18,10,15,57
15,16,5,19,55
11,10,16,10,47
4,4,0,10,18
27,11,20,7,65
17,23,19,20,79
4,8,6,19,37
12,6,13,14,45
12,17,14,15,58
17,7,7,8,39
4,7,6,7,24
2,5,3,13,23
6,6,12,5,29
3,4,8,5,20
3,5,2,2,12
3,12,3,13,31
51,32,30,10,123
18,7,21,25,71
26,16,14,24,80
9,11,5,20,45
10,3,4,12,29
6,12,5,4,27
5,6,4,7,22
22,7,18,8,55
7,8,8,13,36
10,9,7,5,31
0,9,1,4,14
9,11,18,21,59
8,5,4,5,22
28,25,20,8,81
18,26,17,18,79
6,15,10,6,37
21,16,33,41,111
16,19,15,18,68
6,5,6,12,29
4,11,13,17,45
9,8,12,11,40
8,15,23,19,65
10,7,18,9,44
10,7,14,3,34
6,6,5,4,21
6,16,12,11,45
6,11,3,4,24
9,16,2,9,36
10,2,12,3,27
3,2,0,6,11
3,5,9,9,26
6,4,5,12,27
3,3,0,3,9
0,2,1,2,5
14,7,14,2,37
10,9,4,5,28
10,10,19,9,48
3,2,9,3,17
4,5,0,6,15
3,4,3,3,13
0,2,2,1,5
0,0,4,1,5
2,10,6,45,63
3,4,5,11,23
1,8,5,10,24
3,7,4,7,21
8,11,9,8,36
10,5,16,11,42
9,3,11,1,24
5,3,4,2,14
17,15,12,10,54
10,9,9,14,42
9,1,7,5,22
1,0,1,0,2
5,9,4,2,20
0,1,0,2,3
2,4,2,5,13
4,3,2,4,13
14,20,18,15,67
7,6,22,9,44
1,3,5,2,11
10,10,11,8,39
0,5,1,1,7
11,11,7,3,32
9,8,2,6,25
11,13,3,4,31
11,13,3,4,31
3,5,2,2,12
3,5,1,2,11
18,12,20,7,57
17,17,11,7,52
20,11,15,12,58
3,7,4,1,15
9,4,9,5,27
8,9,12,3,32
2,7,5,2,16
13,13,16,14,56
0,1,1,2,4
